palabra,media_agrado,media_activacion,media_imaginabilidad
sacar,0.2,1,0.8
nada,0,-0.4,0
cambio,0.6,0.8,0
gracia,0.8,0.2,0
blanco,0.6,-0.4,1
personaje,0.8,0.6,0.4
semana,0,0.4,0.6
ocupar,-0.2,0.8,0.2
bajo,0,-0.2,1
antiguo,0.6,-0.6,0.8
localidad,0,0,0
lleno,0.2,-0.4,1
ser,0.8,1,0.2
ocurrir,0.4,0.8,-0.6
principio,0.4,0.4,-0.2
negro,0,-0.4,0.8
oscuro,0,-0.4,0.8
ejército,-0.4,0.6,1
densidad,0,-0.2,-0.2
frente,0,-0.2,0
hermoso,1,0.2,0.6
feliz,1,0.8,0.4
poblacional,0,-0.2,-0.4
situación,0,0,-0.4
detener,0,1,0.4
ayudar,0.6,1,0.6
leer,0.8,0.6,0.8
anterior,0.2,-0.2,-0.4
largo,-0.2,0,0.4
acompañar,0.8,1,0.4
abandonar,-0.8,0.8,0
distinto,0.2,0.2,0.2
social,0.4,0,0
título,-0.2,0,0.6
origen,0.2,-0.2,-0.2
desarrollar,0.2,1,0.4
actual,0,-0.2,0.2
bello,0.8,-0.4,0.6
mayoría,-0.2,0,0.4
dedicar,0.4,0.8,0.6
área,0.2,-0.6,0.6
chico,-0.2,-0.4,1
importar,0.4,0.4,0.6
clase,0.4,0.2,0.6
político,-0.2,0.4,-0.4
internacional,0.2,-0.2,0
especial,0.6,-0.2,0.4
sentimiento,0.4,0,0.2
alto,0.2,-0.2,0.6
nivel,0.2,0.2,0.4
árbol,0.6,-0.4,1
disco,0.4,0,1
pensamiento,0.6,0.4,0
cama,0.6,-0.2,1
extraño,0.2,-0.2,0.2
reconocer,0.4,1,0.2
sufrir,-0.6,0.6,0.6
superficie,0.2,-0.4,0.6
actividad,0.6,0.8,0.4
programa,0,0.6,0.2
edificio,0,-0.8,1
responder,0.429,0.571,0.286
comer,0.4,1,0.6
representar,0.4,0.8,0.4
iniciar,0.6,1,0.4
establecer,0.167,0.833,-0.5
estación,0.333,-0.5,0.667
hecho,0.167,0.167,-0.333
mundial,0.333,0.167,0.5
suelo,0.5,0,1
oficina,0.2,0,1
ventana,0.8,-0.4,1
empresa,0,0.4,0.6
éxito,0.8,0.6,0.8
poseer,0.6,0.6,0.8
ley,0,0.8,0.8
compañía,1,1,1
suceder,0.4,0.6,0.8
instante,0.4,0,0.8
cubrir,0.4,1,0.6
sociedad,0.6,0.6,0.8
reír,1,1,1
traer,0,1,0.8
versión,0,0,-0.2
lengua,0.2,0.8,0.8
uso,0,0.6,0.4
cantón,0.2,-0.2,0.2
entregar,0.4,0.8,0.8
comprender,0.667,0.5,0.5
vivo,0.5,0.833,0.667
territorio,0.167,-0.333,0.833
luna,0.833,-0.333,1
vuelta,0.167,0.5,0.5
ofrecer,0.75,1,0.875
destino,0.4,0,0.2
hoja,0.4,-0.2,1
sombra,0.4,-0.2,1
diverso,0.4,0.2,0.2
base,0,0,0.2
público,0.4,0.4,0.8
mover,0.2,0.8,0.6
libre,0.8,0.6,0.2
batalla,-0.6,0.8,0.8
fondo,0,-0.4,0.8
acariciar,0.8,1,1
millón,0,0,0.2
fuego,0.8,1,1
flor,1,0.2,1
don,0.8,0.2,0.6
