room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
16054933,9868737,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",25,5,4,1,1,1019,0,NA,2018-02-09T15:30:32Z,-34.587784,-58.43828,1,0101000020E6100000D53E1D8F19384DC0588E90813C4B41C0,NA,NA,Modern Apt Best Place in Palermo Hollywood,Apartment,ARS,nightly
18776780,6228110,Entire home/apt,NA,NA,NA,"Buenos Aires, Buenos Aires, Argentina",26,4.5,2,1,1,897,0,NA,2018-02-09T15:30:32Z,-34.587168,-58.438404,1,0101000020E6100000C1374D9F1D384DC0FDA02E52284B41C0,NA,NA,Modern studio in the heart of Palermo,Condominium,ARS,nightly
13264671,74690300,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1,NA,4,2,1.5,856,0,NA,2018-02-09T18:28:21Z,-34.621046,-58.377857,1,0101000020E610000047C8409E5D304DC0E3A7716F7E4F41C0,NA,NA,San Telmo Ideal,Apartment,ARS,nightly
4686562,24185598,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,NA,3,1,1,978,0,NA,2018-02-09T18:28:21Z,-34.62081,-58.377558,1,0101000020E6100000ED2B0FD253304DC0CF83BBB3764F41C0,NA,NA,High ceilings &amp; wooden doors,Apartment,ARS,nightly
12929095,70964862,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",7,4,8,5,3,1019,0,NA,2018-02-09T18:28:21Z,-34.620897,-58.37516,1,0101000020E610000039622D3E05304DC09E978A8D794F41C0,NA,NA,República San Telmo / Gran Capacidad,Loft,ARS,nightly
8100428,1409800,Entire home/apt,NA,NA,NA,"Buenos Aires, Buenos Aires, Argentina",5,5,2,0,1,1936,0,NA,2018-02-10T04:09:10Z,-34.593528,-58.411791,1,0101000020E6100000C1E44691B5344DC051A1BAB9F84B41C0,NA,NA,"Soho Point, New Building",Apartment,ARS,nightly
5716613,12122305,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",32,4.5,16,5,5,6800,0,NA,2018-02-11T03:46:34Z,-34.587887,-58.385715,1,0101000020E6100000CF49EF1B5F314DC02D5F97E13F4B41C0,NA,NA,HUGE 5BED  RECOLETA PALACE (AL4),Apartment,ARS,nightly
22879785,156242364,Entire home/apt,NA,NA,NA,"Monserrat, Buenos Aires, Argentina",0,NA,3,1,1,1019,0,NA,2018-02-09T18:28:29Z,-34.615871,-58.382938,1,0101000020E6100000A532C51C04314DC004C765DCD44E41C0,NA,NA,PALACETE MONSERRAT,Apartment,ARS,nightly
11373462,11242532,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2,NA,2,0,1,1202,0,NA,2018-02-09T20:36:53Z,-34.58986,-58.404956,1,0101000020E6100000D4282499D5334DC0FA9B5088804B41C0,NA,NA,BRIGHT!!! Recoleta w/balcony+gym+pool+Laundry!,Apartment,ARS,nightly
16890329,51841414,Entire home/apt,NA,NA,NA,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",22,4.5,3,0,1,897,0,NA,2018-02-09T11:01:05Z,-34.578971,-58.422785,1,0101000020E6100000A31EA2D11D364DC08D2AC3B81B4A41C0,NA,NA,Palermo Rosedal Studio,Apartment,ARS,nightly
