X,Y,NOMBRE,DOMICILIO,IMAGEN,AUTOMAT,OBSERV,NRO_EST,HORARIO,DIRE_NORM
-5836208336032481,-34630692805891836,JUAN MANUEL BLANES,JUAN MANUEL BLANES 383,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,153,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,383 BLANES JUAN MANUEL
-58388415093700080,-3460300443628654,PARANA,LAVALLE ENTTRE MONTEVIDEO Y PARANA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,83,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,LAVALLE Y PARANA
-58370984931913310,-34625607180603216,BRASIL,BRASIL Y DEFENSA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,172,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,BRASIL AV Y DEFENSA
-58407787551975336,-34622194454298124,HOSPITAL FRANCES,HOSPITAL FRANCES: CARLOS CALVO Y LA RIOJA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,146,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,CALVO CARLOS Y LA RIOJA
-58394769493400736,-3462060134032108,CARLOS CALVO,CARLOS CALVO Y SARANDI,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,93,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,CALVO CARLOS Y SARANDI
-58362999658555690,-34604969163174368,MACACHA GUEMES,MACACHA GUEMES Y JUANA MANSO,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,111,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,GUEMES MACACHA Y MANSO JUANA
-58403533150668630,-34577414620685856,MALBA,AV FIGUEROA ALCORTA Y SAN MARTIN DE TOURS,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,103,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,"FIGUEROA ALCORTA, PRES. AV. Y SAN MARTIN DE TOURS"
-58420210254692850,-3457296236756175,GODOY CRUZ Y LIBERTADOR,GODOY CRUZ 3291 ENTRE AV DEL LIBERTADOR Y SEGUI,ESTACION_AUTOMATICA.PNG,AUTOMATICA,abr-17,160,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,3291 GODOY CRUZ
-5843523360815378,-34578190951278800,RAVIGNANI Y GUATEMALA,RAVIGNANI 2171 Y GUATEMALA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,182,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,2171 RAVIGNANI
-58387766665448400,-34634948959411800,HOSPITAL BRITANICO,PERDRIEL Y FINOCHIETTO ENRIQUE,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,138,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,PERDRIEL Y FINOCHIETTO ENRIQUE DR.
-58374285096617330,-34591940862666128,RETIRO II,PLAZA FUERZA AEREA: AV. DR. J. RAMOS MEJIA Y AV DEL LIBERTADOR,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,130,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,DEL LIBERTADOR AV Y RAMOS MEJIA DR AV
-58374210028319144,-34591846492840452,RETIRO III,PLAZA FUERZA AEREA: AV. DR. J. RAMOS MEJIA Y AV DEL LIBERTADOR,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,131,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,DEL LIBERTADOR AV Y RAMOS MEJIA DR AV
-58395944359526920,-34630437687184952,HOSPITAL GARRAHAN,HOSPITAL GARRAHAN: AV BRASIL Y PICHINCHA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,107,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,BRASIL AV Y PICHINCHA AV
-5843438250822151,-34581039917576040,NICARAGUA,NICARAGUA 5690 ENTRE BONPLAND Y FITZ ROY,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,133,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,5690 NICARAGUA
-58415758703809690,-34604635232518128,BILLINGHURST Y VALENTIN GOMEZ,BILLINGHURST 455 Y VALENTIN GOMEZ,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,143,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,455 BILLINGHURST
-58367470006978050,-34615926396668852,AZOPARDO Y CHILE,AZOPARDO 700 Y CHILE,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,137,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,AZOPARDO Y CHILE
-58428217167339250,-34583480107248728,ORO,FRAY JUSTO SANTAMARIA DE ORO Y GUATEMALA,ESTACION_AUTOMATICA.PNG,AUTOMATICA,may-17,125,ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS,FRAY JUSTO SANTAMARIA DE ORO Y GUATEMALA
