ORIGEN_ESTACION,DESTINO_ESTACION,hora,lon,lat
33,84,2,-58.39608,-34.59571
33,84,2,-58.39468,-34.59579
33,84,2,-58.39476,-34.59726
33,84,2,-58.39421,-34.60089
33,84,2,-58.39396,-34.60322
33,84,2,-58.39542,-34.60327
33,84,2,-58.39551,-34.602290000000004
38,82,2,-58.38283,-34.59697
38,82,2,-58.38284,-34.59682
38,82,2,-58.38563,-34.59698
38,82,2,-58.38547,-34.59929
38,82,2,-58.39439,-34.59975
38,82,2,-58.39875,-34.59981
38,82,2,-58.40193,-34.59944
38,82,2,-58.40456,-34.59811
38,82,2,-58.41029,-34.59814
38,82,2,-58.42017,-34.59778
38,82,2,-58.42141,-34.60725
38,82,2,-58.4262,-34.60729
38,82,2,-58.4262,-34.60743
56,85,2,-58.42515,-34.58944
56,85,2,-58.42392,-34.59021
56,85,2,-58.42152,-34.5886
56,85,2,-58.41593,-34.58516
56,85,2,-58.41008,-34.589
56,85,2,-58.40792,-34.59084
56,85,2,-58.40712,-34.59166
56,85,2,-58.40846,-34.59314
56,85,2,-58.40891,-34.59448
56,85,2,-58.40907,-34.59458
85,96,2,-58.40907,-34.59458
85,96,2,-58.41025,-34.59696
85,96,2,-58.41029,-34.59814
85,96,2,-58.41145,-34.6029
85,96,2,-58.41157,-34.60286
99,69,2,-58.43559,-34.59631
99,69,2,-58.4364,-34.59685
99,69,2,-58.43726,-34.59594
99,69,2,-58.43618,-34.59522
99,69,2,-58.43444,-34.59709
99,69,2,-58.42152,-34.5886
99,69,2,-58.41593,-34.58516
99,69,2,-58.41008,-34.589
99,69,2,-58.4061,-34.59257
99,69,2,-58.40506,-34.59338
99,69,2,-58.4036,-34.59412
99,69,2,-58.4043,-34.59554
99,69,2,-58.40426,-34.59587
149,91,2,-58.38144,-34.61528
149,91,2,-58.38124,-34.61527
149,91,2,-58.38113,-34.61764
149,91,2,-58.38747,-34.6179
149,91,2,-58.39752,-34.61844
149,91,2,-58.39761,-34.6175
8,85,2,-58.38909,-34.60992
8,85,2,-58.38907,-34.61012
8,85,2,-58.38759,-34.61002
8,85,2,-58.38731,-34.60977
8,85,2,-58.38731,-34.60946
8,85,2,-58.38772,-34.60944
8,85,2,-58.38852,-34.60907
8,85,2,-58.39196,-34.60923
8,85,2,-58.3924,-34.60315
8,85,2,-58.39332,-34.59585
8,85,2,-58.39608,-34.59571
8,85,2,-58.39851,-34.59541
8,85,2,-58.40235,-34.59447
8,85,2,-58.40288,-34.59583
8,85,2,-58.40839,-34.59308
8,85,2,-58.40907,-34.59458
9,56,2,-58.40662,-34.58417
9,56,2,-58.41008,-34.589
9,56,2,-58.41439,-34.59405
9,56,2,-58.41642,-34.59411
9,56,2,-58.42286,-34.59412
9,56,2,-58.42266,-34.59276
9,56,2,-58.42488,-34.59086
9,56,2,-58.4272,-34.58935
9,56,2,-58.4262,-34.5887
9,56,2,-58.42515,-34.58944
12,30,2,-58.38876,-34.59316
12,30,2,-58.38882,-34.59272
12,30,2,-58.38901,-34.59248
12,30,2,-58.39092,-34.59086
12,30,2,-58.39294,-34.58926
12,30,2,-58.39418,-34.58857
12,30,2,-58.39522,-34.58791
12,30,2,-58.39525,-34.58782
12,30,2,-58.39664,-34.5895
12,30,2,-58.39733,-34.59042
13,91,2,-58.40605,-34.60979
13,91,2,-58.40617,-34.61001
13,91,2,-58.40645,-34.61017
13,91,2,-58.40852,-34.61033
13,91,2,-58.40889,-34.60997
13,91,2,-58.40893,-34.60936
13,91,2,-58.40874,-34.60916
13,91,2,-58.40603,-34.60888
13,91,2,-58.40594,-34.61076
13,91,2,-58.40555,-34.6126
13,91,2,-58.40457,-34.61579
13,91,2,-58.40317,-34.61985
13,91,2,-58.39746,-34.61958
13,91,2,-58.39761,-34.6175
20,17,2,-58.44166,-34.57992
20,17,2,-58.44435,-34.58309
20,17,2,-58.44658,-34.59062
20,17,2,-58.44758,-34.59169
20,17,2,-58.438720000000004,-34.59986
20,17,2,-58.43188,-34.6021
20,17,2,-58.41804,-34.60346
20,17,2,-58.41861,-34.60677
20,17,2,-58.41898,-34.60656
59,66,2,-58.41144,-34.59016
59,66,2,-58.41117,-34.59034
59,66,2,-58.41439,-34.59405
59,66,2,-58.41372,-34.59458
59,66,2,-58.41386,-34.59459
65,85,2,-58.41589,-34.58716
65,85,2,-58.41452,-34.58813
65,85,2,-58.40787,-34.59249
65,85,2,-58.40846,-34.59314
65,85,2,-58.40891,-34.59448
65,85,2,-58.40907,-34.59458
69,65,2,-58.40426,-34.59587
69,65,2,-58.40433,-34.59615
69,65,2,-58.40184,-34.59701
69,65,2,-58.4011,-34.59479
69,65,2,-58.4036,-34.59412
69,65,2,-58.40506,-34.59338
69,65,2,-58.41008,-34.589
69,65,2,-58.41496,-34.58577
69,65,2,-58.41408,-34.58514
69,65,2,-58.41316,-34.5857
69,65,2,-58.41407,-34.58639
69,65,2,-58.41707,-34.58816
69,65,2,-58.41792,-34.58751
69,65,2,-58.41653,-34.5867
69,65,2,-58.41589,-34.58716
69,66,2,-58.40426,-34.59587
69,66,2,-58.40421,-34.5956
69,66,2,-58.4043,-34.59554
69,66,2,-58.40559,-34.5981
69,66,2,-58.41029,-34.59814
69,66,2,-58.41325,-34.598
69,66,2,-58.41373,-34.59996
69,66,2,-58.41608,-34.5993
69,66,2,-58.41599,-34.59789
69,66,2,-58.41439,-34.59405
69,66,2,-58.41372,-34.59458
69,66,2,-58.41386,-34.59459
69,92,2,-58.40426,-34.59587
69,92,2,-58.40433,-34.59615
69,92,2,-58.40313,-34.59657
69,92,2,-58.4061,-34.6072
69,92,2,-58.40594,-34.61076
69,92,2,-58.40278,-34.62113
69,92,2,-58.40056,-34.63154
69,92,2,-58.40599,-34.63363
69,92,2,-58.40623,-34.63186
69,92,2,-58.405029999999996,-34.63168
69,118,2,-58.40426,-34.59587
69,118,2,-58.40433,-34.59615
69,118,2,-58.40313,-34.59657
69,118,2,-58.4047,-34.60157
69,118,2,-58.4061,-34.6072
69,118,2,-58.40594,-34.61076
69,118,2,-58.40555,-34.6126
69,118,2,-58.40412,-34.61701
69,118,2,-58.40285,-34.61674
70,28,2,-58.42586,-34.59263
70,28,2,-58.42319,-34.59083
70,28,2,-58.42235,-34.59157
70,28,2,-58.41914,-34.59158
70,28,2,-58.42152,-34.60845
70,28,2,-58.42034,-34.61469
70,28,2,-58.42007,-34.61585
70,28,2,-58.41699,-34.6157
70,28,2,-58.41638,-34.62247
70,28,2,-58.41239,-34.62191
70,28,2,-58.41204,-34.62298
70,28,2,-58.41234,-34.62304
76,134,2,-58.39499,-34.60758
76,134,2,-58.39503,-34.60709
76,134,2,-58.39648,-34.60716
76,134,2,-58.39629,-34.6095
76,134,2,-58.41309,-34.61066
76,134,2,-58.41303,-34.61247
76,134,2,-58.4162,-34.61354
76,134,2,-58.41679,-34.61223
76,134,2,-58.41549,-34.61194
77,93,2,-58.39478,-34.61127
77,93,2,-58.39481,-34.61053
77,93,2,-58.39335,-34.61045
77,93,2,-58.39318,-34.61577
77,93,2,-58.39319,-34.62047
77,93,2,-58.39477,-34.62056
86,98,2,-58.40165,-34.621339999999996
86,98,2,-58.40175,-34.62104
86,98,2,-58.40278,-34.62113
86,98,2,-58.40155,-34.62639
86,98,2,-58.40016,-34.62617
86,98,2,-58.40018,-34.62581
86,98,2,-58.39669,-34.62482
86,98,2,-58.39162,-34.62374
86,98,2,-58.38604,-34.6231
86,98,2,-58.38349,-34.62299
86,98,2,-58.38197,-34.62312
86,98,2,-58.38082,-34.62369
86,98,2,-58.38019,-34.6237
86,98,2,-58.37978,-34.62334
86,98,2,-58.37974,-34.62268
86,98,2,-58.37979,-34.62235
86,98,2,-58.38023,-34.62179
86,98,2,-58.38034,-34.62125
86,98,2,-58.38062,-34.61862
86,98,2,-58.38088,-34.61304
86,98,2,-58.37758,-34.61287
86,98,2,-58.37765,-34.61164
86,98,2,-58.37813,-34.61167
90,9,2,-58.39933,-34.58708
90,9,2,-58.4002,-34.58655
90,9,2,-58.40116,-34.5859
90,9,2,-58.39993,-34.58505
90,9,2,-58.40122,-34.5839
90,9,2,-58.40192,-34.58348
90,9,2,-58.4022,-34.58343
90,9,2,-58.40626,-34.58346
90,9,2,-58.4068,-34.5833
90,9,2,-58.40718,-34.58318
90,9,2,-58.4066,-34.58203
90,9,2,-58.40558,-34.58235
90,9,2,-58.406,-34.58326
90,9,2,-58.40662,-34.58417
113,69,2,-58.42524,-34.5857
113,69,2,-58.42537,-34.58559
113,69,2,-58.42422,-34.58466
113,69,2,-58.42017,-34.58776
113,69,2,-58.41593,-34.58516
113,69,2,-58.41008,-34.589
113,69,2,-58.40792,-34.59084
113,69,2,-58.4061,-34.59257
113,69,2,-58.40506,-34.59338
113,69,2,-58.4036,-34.59412
113,69,2,-58.4043,-34.59554
113,69,2,-58.40421,-34.5956
113,69,2,-58.40426,-34.59587
134,84,2,-58.41549,-34.61194
134,84,2,-58.41401,-34.61157
134,84,2,-58.4134,-34.61261
134,84,2,-58.41288,-34.61246
134,84,2,-58.4112,-34.61164
134,84,2,-58.4088,-34.61149
134,84,2,-58.40893,-34.60942
134,84,2,-58.40885,-34.60923
134,84,2,-58.40866,-34.60915
134,84,2,-58.40603,-34.60888
134,84,2,-58.4061,-34.6072
134,84,2,-58.40545,-34.60458
134,84,2,-58.40362,-34.60476
134,84,2,-58.39531,-34.60449
134,84,2,-58.39551,-34.602290000000004
65,85,3,-58.41589,-34.58716
65,85,3,-58.41452,-34.58813
65,85,3,-58.40787,-34.59249
65,85,3,-58.40846,-34.59314
65,85,3,-58.40891,-34.59448
65,85,3,-58.40907,-34.59458
76,75,3,-58.39499,-34.60758
76,75,3,-58.39503,-34.60709
76,75,3,-58.39648,-34.60716
76,75,3,-58.39629,-34.6095
76,75,3,-58.39615,-34.61294
76,75,3,-58.39887,-34.6131
76,75,3,-58.39896,-34.61213
59,82,3,-58.41144,-34.59016
59,82,3,-58.41117,-34.59034
59,82,3,-58.41439,-34.59405
59,82,3,-58.41957,-34.59412
59,82,3,-58.4206,-34.60055
59,82,3,-58.42141,-34.60725
59,82,3,-58.4262,-34.60729
59,82,3,-58.4262,-34.60743
54,84,3,-58.42174,-34.59826
54,84,3,-58.42184,-34.59821
54,84,3,-58.42204,-34.59935
54,84,3,-58.42045,-34.59952
54,84,3,-58.42096,-34.60317
54,84,3,-58.41677,-34.60361
54,84,3,-58.41376,-34.6041
54,84,3,-58.40986,-34.60406
54,84,3,-58.40362,-34.60476
54,84,3,-58.39531,-34.60449
54,84,3,-58.39551,-34.602290000000004
54,134,3,-58.42174,-34.59826
54,134,3,-58.42184,-34.59821
54,134,3,-58.42204,-34.59935
54,134,3,-58.42045,-34.59952
54,134,3,-58.42152,-34.60845
54,134,3,-58.42064,-34.61317
54,134,3,-58.41549,-34.61194
33,84,3,-58.39871,-34.59709
33,84,3,-58.39888,-34.59707
33,84,3,-58.39851,-34.59541
33,84,3,-58.39608,-34.59571
33,84,3,-58.39468,-34.59579
33,84,3,-58.39476,-34.59726
33,84,3,-58.39421,-34.60089
33,84,3,-58.39396,-34.60322
33,84,3,-58.39542,-34.60327
33,84,3,-58.39551,-34.602290000000004
59,120,3,-58.41144,-34.59016
59,120,3,-58.41049,-34.59076
59,120,3,-58.40946,-34.58954
59,120,3,-58.40506,-34.59338
59,120,3,-58.40235,-34.59447
59,120,3,-58.4047,-34.60157
59,120,3,-58.40612,-34.60742
59,120,3,-58.40592,-34.61093
59,120,3,-58.40457,-34.61579
59,120,3,-58.40945,-34.61663
59,120,3,-58.40939,-34.61756
59,120,3,-58.40911,-34.61754
65,134,3,-58.41589,-34.58716
65,134,3,-58.41566,-34.58732
65,134,3,-58.41857,-34.58904
65,134,3,-58.418,-34.58948
65,134,3,-58.41901,-34.59085
65,134,3,-58.42152,-34.60845
65,134,3,-58.42064,-34.61317
65,134,3,-58.41549,-34.61194
76,42,3,-58.39499,-34.60758
76,42,3,-58.39531,-34.60449
76,42,3,-58.392,-34.60444
76,42,3,-58.38213,-34.60376
76,42,3,-58.38184,-34.60385
76,42,3,-58.38145,-34.60386
76,42,3,-58.38104,-34.60399
76,42,3,-58.3797,-34.60471
85,33,3,-58.40907,-34.59458
85,33,3,-58.4096,-34.59568
85,33,3,-58.4065,-34.59699
85,33,3,-58.40345,-34.59755
85,33,3,-58.40235,-34.59447
85,33,3,-58.39851,-34.59541
85,33,3,-58.39736,-34.59555
85,33,3,-58.39754,-34.59723
85,33,3,-58.39871,-34.59709
113,59,3,-58.42524,-34.5857
113,59,3,-58.42537,-34.58559
113,59,3,-58.42422,-34.58466
113,59,3,-58.42017,-34.58776
113,59,3,-58.41741,-34.58606
113,59,3,-58.41452,-34.58813
113,59,3,-58.41144,-34.59016
122,14,3,-58.42041,-34.59157
122,14,3,-58.41786,-34.59154
122,14,3,-58.41662,-34.58983
122,14,3,-58.41583,-34.58957
122,14,3,-58.41563,-34.58906
122,14,3,-58.41316,-34.58699
122,14,3,-58.41669,-34.58463
122,14,3,-58.41422,-34.58178
122,14,3,-58.42007,-34.58133
122,14,3,-58.42074,-34.58075
122,14,3,-58.42186,-34.58069
122,14,3,-58.42588,-34.57813
122,14,3,-58.42635,-34.57796
28,94,4,-58.41234,-34.62304
28,94,4,-58.41372,-34.62335
28,94,4,-58.41383,-34.62079
28,94,4,-58.42401,-34.62155
28,94,4,-58.43463,-34.62308
28,94,4,-58.43586,-34.61936
28,94,4,-58.43739,-34.61642
28,94,4,-58.4384,-34.61281
28,94,4,-58.44091,-34.61393
28,94,4,-58.44212,-34.61185
28,94,4,-58.44747,-34.60482
28,94,4,-58.45248,-34.59953
28,94,4,-58.45299,-34.59865
28,94,4,-58.45551,-34.59787
28,94,4,-58.45102,-34.59474
28,94,4,-58.44862,-34.59262
28,94,4,-58.44948,-34.59185
65,70,4,-58.41589,-34.58716
65,70,4,-58.41566,-34.58732
65,70,4,-58.41904,-34.58932
65,70,4,-58.42152,-34.5886
65,70,4,-58.42587,-34.59153
65,70,4,-58.42703,-34.59078
65,70,4,-58.42803,-34.59142
65,70,4,-58.42685,-34.59217
65,70,4,-58.42607,-34.59277
65,70,4,-58.42586,-34.59263
91,81,4,-58.39761,-34.6175
91,81,4,-58.39787,-34.61481
91,81,4,-58.39747,-34.61467
91,81,4,-58.39749,-34.61418
91,81,4,-58.37331,-34.61256
91,81,4,-58.37314,-34.61608
91,81,4,-58.37086,-34.61597
118,13,4,-58.40285,-34.61674
118,13,4,-58.4027,-34.61671
118,13,4,-58.40315,-34.61332
118,13,4,-58.40333,-34.60998
118,13,4,-58.40852,-34.61033
118,13,4,-58.40889,-34.60997
118,13,4,-58.40893,-34.60936
118,13,4,-58.40874,-34.60916
118,13,4,-58.40603,-34.60888
118,13,4,-58.40598,-34.60965
118,13,4,-58.40605,-34.60979
121,161,4,-58.42834,-34.60081
121,161,4,-58.42808,-34.59906
121,161,4,-58.42663,-34.59918
121,161,4,-58.42358,-34.59911
121,161,4,-58.42204,-34.59935
121,161,4,-58.42045,-34.59952
121,161,4,-58.42079,-34.60191
121,161,4,-58.419670000000004,-34.60201
6,114,4,-58.36954,-34.62843
6,114,4,-58.36797,-34.62691
6,114,4,-58.3693,-34.60952
6,114,4,-58.36845,-34.60857
6,114,4,-58.36827,-34.60772
6,114,4,-58.36855,-34.60691
6,114,4,-58.36981,-34.60575
6,114,4,-58.37088,-34.5987
6,114,4,-58.37235,-34.59559
6,114,4,-58.37201,-34.59515
6,114,4,-58.37255,-34.5949
13,82,4,-58.40605,-34.60979
13,82,4,-58.40617,-34.61001
13,82,4,-58.40645,-34.61017
13,82,4,-58.41971,-34.61113
13,82,4,-58.421,-34.61147
13,82,4,-58.42359,-34.61261
13,82,4,-58.42447,-34.61116
13,82,4,-58.42469,-34.60862
13,82,4,-58.42465,-34.60727
13,82,4,-58.4262,-34.60729
13,82,4,-58.4262,-34.60743
41,121,4,-58.40767,-34.63652
41,121,4,-58.40758,-34.63742
41,121,4,-58.42346,-34.6402
41,121,4,-58.42575,-34.63148
41,121,4,-58.42921,-34.61531
41,121,4,-58.42741,-34.61498
41,121,4,-58.42861,-34.61269
41,121,4,-58.4292,-34.60872
41,121,4,-58.42912,-34.60596
41,121,4,-58.42834,-34.60081
75,12,4,-58.39896,-34.61213
75,12,4,-58.39897,-34.61199
75,12,4,-58.39181,-34.61149
75,12,4,-58.3924,-34.60315
75,12,4,-58.39332,-34.59585
75,12,4,-58.3931,-34.59382
75,12,4,-58.38989,-34.59431
75,12,4,-58.38926,-34.59463
75,12,4,-58.38856,-34.59466
75,12,4,-58.38876,-34.59316
27,64,4,-58.3899,-34.5995
27,64,4,-58.39157,-34.59961
27,64,4,-58.39132,-34.60192
27,64,4,-58.3926,-34.602
27,64,4,-58.39305,-34.59871
27,64,4,-58.39332,-34.59585
27,64,4,-58.39608,-34.59571
27,64,4,-58.39565,-34.59339
27,64,4,-58.39428,-34.59363
27,64,4,-58.3944,-34.59416
68,63,4,-58.38546,-34.60665
68,63,4,-58.38548,-34.60642
68,63,4,-58.38781,-34.60655
68,63,4,-58.38792,-34.60413
68,63,4,-58.38213,-34.60376
68,63,4,-58.38168,-34.60363
68,63,4,-58.38105,-34.60368
68,63,4,-58.3725,-34.60318
68,63,4,-58.36724,-34.60276
68,63,4,-58.36755,-34.60019
68,63,4,-58.36816,-34.59843
68,63,4,-58.36969,-34.59826
68,63,4,-58.3728,-34.59854
68,63,4,-58.3727,-34.59947
73,114,4,-58.37179,-34.63089
73,114,4,-58.37196,-34.63078
73,114,4,-58.36797,-34.62691
73,114,4,-58.3693,-34.60952
73,114,4,-58.36845,-34.60857
73,114,4,-58.36827,-34.60772
73,114,4,-58.36855,-34.60691
73,114,4,-58.36981,-34.60575
73,114,4,-58.37088,-34.5987
73,114,4,-58.37235,-34.59559
73,114,4,-58.37201,-34.59515
73,114,4,-58.37255,-34.5949
77,12,4,-58.39478,-34.61127
