nombre,tipo,categoria,lat,lng
Banco Nación,bank,banca,-32.92763180000001,-68.81979199999999
Banco Supervielle,bank,banca,-32.9214974,-68.7906036
BANCO DE LA NACION ARGENTINA,bank,banca,-32.90305,-68.788864
Banco Galicia,bank,banca,-32.902862,-68.78919549999999
Fiesta FISCALIA,bank,banca,-32.924042,-68.8080969
Bandera De Los Andes Y Libertad. Banco Nacion,bank,banca,-32.8968105,-68.7863054
BASA Banco De Archivos,bank,banca,-32.9321653,-68.8170662
Club Banco Nacion,bank,banca,-32.8922546,-68.75681879999999
Venta Lote Afip,bank,banca,-32.904933,-68.8119124
Banco Supervielle,bank,banca,-32.8939171,-68.8460846
ICBC Suc Colon,bank,banca,-32.893934,-68.845406
Supervielle,bank,banca,-32.8937519,-68.84618429999999
Mendoza Stock Exchange,bank,banca,-32.8935516,-68.8442414
Banco Galicia,bank,banca,-32.892612,-68.8524889
Citibank,bank,banca,-32.8906136,-68.84218109999999
Banco Industrial,bank,banca,-32.890254,-68.8395539
HSBC,bank,banca,-32.888421,-68.8403259
"Banco Nación, Sucursal Ejército De Los Andes",bank,banca,-32.888191,-68.8412616
BancoSanJuan,bank,banca,-32.887147,-68.83887
ICBC,bank,banca,-32.8868469,-68.840429
Citibank,bank,banca,-32.91406630000001,-68.8260269
Banco Macro,bank,banca,-32.9228096,-68.8478317
Rapipago,bank,banca,-32.9054034,-68.8288699
Banco Macro,bank,banca,-32.908535,-68.8608398
Banco Supervielle,bank,banca,-32.8500425,-68.83973859999999
SUPERVIELLE,bank,banca,-32.8500919,-68.83979200000002
NiponCar,bank,banca,-32.8850472,-68.8188569
"SUPERVIELLE, Sucursal Mendoza Centro",bank,banca,-32.888276,-68.8401228
Standard Bank Argentina,bank,banca,-32.8869438,-68.8406677
Banco Patagonia (Suc. 300 Mdz Civico),bank,banca,-32.8936308,-68.84713950000001
Banco Mendoza Sa,bank,banca,-32.887562,-68.8413836
Galicia Eminent,bank,banca,-32.88845869999999,-68.8497349
Rapipago,bank,banca,-32.8931831,-68.8505385
Banco de Inversión y Comercio Exterior (BICE),bank,banca,-32.88997599999999,-68.841776
Rapipago Güemes 297,bank,banca,-32.8957557,-68.8285799
Terminal Mdz,bank,banca,-32.8954147,-68.8314596
Banco Supervielle,bank,banca,-32.8946496,-68.8402405
Banco Itaú,bank,banca,-32.889752,-68.840694
EDIFICIO PROPUESTO P/ BANCO,bank,banca,-32.8892193,-68.8411589
Banco Hsbc - Bank Argentina Sa,bank,banca,-32.8893821,-68.83939459999999
Banco Ciudad,bank,banca,-32.8895775,-68.8383233
ICBC SUCURSAL MENDOZA BO CIVICO,bank,banca,-32.893934,-68.845406
SUPERVIELLE CENTRO BANEX,bank,banca,-32.89630990000001,-68.8410893
Caja de Previsión para Profesionales de Ciencias Económicas de Mendoza,bank,banca,-32.89343330000001,-68.8433148
Supervielle Centro Banex,bank,banca,-32.8946229,-68.840278
Banco Macro,bank,banca,-32.891917,-68.855846
SUPERVIELLE,bank,banca,-32.8936585,-68.84009780000001
BNA,bank,banca,-32.8870215,-68.8400283
ICBC MENDOZA BRANCH,bank,banca,-32.8869618,-68.8405157
Banco COMPAñIA FINANCIERA ARGENTINA,bank,banca,-32.886914,-68.8382989
Banco Nación,bank,banca,-32.88823299999999,-68.8390469
BANCO DE SERVICIOS Y TRANSACCIONES S.A.,bank,banca,-32.8860584,-68.8395093
Lugar Sucursal a Instalar,bank,banca,-32.87460100000001,-68.88284089999999
Archivo Catastro,bank,banca,-32.8608793,-68.82299909999999
Triunfo Seguros,bank,banca,-32.8688258,-68.8520647
Banco De La Nación Argentina,bank,banca,-32.8276404,-68.7985375
Banco de la Nación,bank,banca,-32.84974,-68.83972
Citibank,bank,banca,-32.8508357,-68.858847
